Instance,number of nodes,number of edges,density
Brightkite_edges.txt,58228,214078,0.00
CA-CondMat.txt,23133,93439,0.00
Erdos971.sam,472,1314,0.01
Erdos972.sam,5488,8972,0.00
Erdos981.sam,485,1381,0.01
Erdos982.sam,5822,9505,0.00
Erdos991.sam,492,1417,0.01
Erdos992.sam,6100,9939,0.00
Gowalla_edges.txt,196591,950327,0.00
Wiki-Vote.graph.txt,7117,100763,0.00
anna.col,138,493,0.05
ca-citeseer.mtx,227320,814134,0.00
com-dblp.ungraph.txt,317080,1049866,0.00
com-youtube.ungraph.txt,1134890,2987624,0.00
david.col,87,406,0.11
facebook_combined.txt,4039,88234,0.01
flickerEdges.txt,105938,2316948,0.00
fpsol2.i.1.col,496,11654,0.09
fpsol2.i.2.col,451,8691,0.09
fpsol2.i.3.col,425,8688,0.10
huck.col,74,301,0.11
inithx.i.1.col,864,18707,0.05
inithx.i.2.col,645,13979,0.07
inithx.i.3.col,621,13969,0.07
jean.col,80,254,0.08
smallworld.graph.txt,100002,499999,0.00
soc-karate.mtx,34,78,0.14
socfb-Northeastern19.mtx,13882,381934,0.00
