Instance,n,m,method,number of iterations,Percent Fixed,method_time,total_time,,,,
facebook,,,none,0,0.00,0,37.45,,,,
facebook,4039,88234,one step,1,7.38,0.04,33.05,,,,
facebook,,,recursive,6,25.33,0.07,35.36,,,,
Wiki-Vote,,,none,0,0.00,0,1.41,,,,
Wiki-Vote,7117,100763,one step,1,35.10,0.03,1.17,,,,
Wiki-Vote,,,recursive,18,99.94,0.07,0.07,,,,
CA-CondMat,,,none,0,0.00,0,1.06,,,,
CA-CondMat,23133,93439,one step,1,36.12,0.14,1.07,,,,
CA-CondMat,,,recursive,5,100.00,0.15,0.15,,,,
Brightkite,,,none,0,0.00,0,3.05,,,,
Brightkite,58228,214078,one step,1,42.31,0.22,2.93,,,,
Brightkite,,,recursive,13,99.78,0.35,0.36,,,,
Gowalla,,,none,0,0.00,0,19.17,,,,
Gowalla,196591,950327,one step,1,33.55,0.71,14.16,,,,
Gowalla,,,recursive,27,99.31,1.53,1.83,,,,
ca-citeseer,,,none,0,0.00,0,11.76,,,,
ca-citeseer,227320,814134,one step,1,40.12,1.91,11.66,,,,
ca-citeseer,,,recursive,5,99.99,1.87,1.87,,,,
com-dblp,,,none,0,0.00,0,16.76,,,,
com-dblp,317080,1049866,one step,1,43.63,2.38,16.21,,,,
com-dblp,,,recursive,6,99.99,2.40,2.41,,,,
com-youtube,,,none,0,0.00,0,49.73,,,,
com-youtube,1134890,2987624,one step,1,57.00,5.58,47.77,,,,
com-youtube,,,recursive,9,99.94,7.73,7.79,,,,
web-Google,,,none,0,0.00,0,101.18,,,,
web-Google,875713,4322051,one_step_simplicial,1,35.84,6.58,77.12,,,,
web-Google,,,recursive_simplicial,24,94.54,11.75,15.71,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
