Instance,method,lower bound,upper bound,root relaxation,total_time,method_time,number nodes fixed,number of iterations
Brightkite_edges.txt,none,36361.0,36361.0,36636.5,3.05,0,0,0
Brightkite_edges.txt,one_step_simplicial,36361.0,36361.0,36451.0,2.92,0.22,24636,1
Brightkite_edges.txt,recursive_simplicial,36361.0,36361.0,67.5,0.34,0.34,58097,13
Brightkite_edges.txt,LP fixing only,36361.0,36361.0,36636.5,0.16,0,55917,0
Brightkite_edges.txt,recursive_simplicial,36392.0,36392.0,67.5,0.34,0.33,58087,13
CA-CondMat.txt,none,9612.0,9612.0,11976.5,1.18,0,0,0
CA-CondMat.txt,one_step_simplicial,9612.0,9612.0,9651.0,1.19,0.13,8355,1
CA-CondMat.txt,recursive_simplicial,9612.0,9612.0,0.0,0.13,0.13,23133,5
CA-CondMat.txt,LP fixing only,9612.0,9612.0,11976.5,0.69,0,8842,0
CA-CondMat.txt,recursive_simplicial,9612.0,9612.0,0.0,0.14,0.14,23133,5
Erdos971.sam,none,254.0,254.0,265.0,0.02,0,0,0
Erdos971.sam,one_step_simplicial,254.0,254.0,258.0,0.02,0.00,157,1
Erdos971.sam,recursive_simplicial,254.0,254.0,0.0,0.00,0.00,472,8
Erdos971.sam,LP fixing only,254.0,254.0,265.0,0.00,0,330,0
Erdos971.sam,recursive_simplicial,254.0,254.0,0.0,0.00,0.00,472,8
Erdos972.sam,none,5047.0,5047.0,5047.0,0.11,0,0,0
Erdos972.sam,one_step_simplicial,5047.0,5047.0,5047.0,0.12,0.03,4165,1
Erdos972.sam,recursive_simplicial,5047.0,5047.0,0.0,0.03,0.03,5488,3
Erdos972.sam,LP fixing only,5047.0,5047.0,5047.0,0.00,0,5488,0
Erdos972.sam,recursive_simplicial,5047.0,5047.0,0.0,0.03,0.02,5488,3
Erdos981.sam,none,261.0,261.0,271.5,0.02,0,0,0
Erdos981.sam,one_step_simplicial,261.0,261.0,264.5,0.02,0.00,159,1
Erdos981.sam,recursive_simplicial,261.0,261.0,0.0,0.00,0.00,485,8
Erdos981.sam,LP fixing only,261.0,261.0,271.5,0.01,0,276,0
Erdos981.sam,recursive_simplicial,261.0,261.0,0.0,0.00,0.00,485,8
Erdos982.sam,none,5368.0,5368.0,5368.0,0.12,0,0,0
Erdos982.sam,one_step_simplicial,5368.0,5368.0,5368.0,0.14,0.03,4449,1
Erdos982.sam,recursive_simplicial,5368.0,5368.0,0.0,0.03,0.03,5822,3
Erdos982.sam,LP fixing only,5368.0,5368.0,5368.0,0.00,0,5822,0
Erdos982.sam,recursive_simplicial,5368.0,5368.0,0.0,0.03,0.03,5822,3
Erdos991.sam,none,263.0,263.0,274.0,0.02,0,0,0
Erdos991.sam,one_step_simplicial,263.0,263.0,266.0,0.02,0.00,160,1
Erdos991.sam,recursive_simplicial,263.0,263.0,0.0,0.00,0.00,492,8
Erdos991.sam,LP fixing only,263.0,263.0,274.0,0.01,0,270,0
Erdos991.sam,recursive_simplicial,263.0,263.0,0.0,0.00,0.00,492,8
Erdos992.sam,none,5639.0,5639.0,5639.0,0.10,0,0,0
Erdos992.sam,one_step_simplicial,5639.0,5639.0,5639.0,0.13,0.03,4689,1
Erdos992.sam,recursive_simplicial,5639.0,5639.0,0.0,0.03,0.03,6100,3
Erdos992.sam,LP fixing only,5639.0,5639.0,5639.0,0.00,0,6100,0
Erdos992.sam,recursive_simplicial,5639.0,5639.0,0.0,0.03,0.03,6100,3
Gowalla_edges.txt,none,112369.0,112369.0,114588.0,20.13,0,0,0
Gowalla_edges.txt,one_step_simplicial,112369.0,112369.0,113193.0,14.33,0.74,65963,1
Gowalla_edges.txt,recursive_simplicial,112369.0,112369.0,676.0,1.81,1.52,195241,27
Gowalla_edges.txt,LP fixing only,112369.0,112369.0,114588.0,1.85,0,168289,0
Gowalla_edges.txt,recursive_simplicial,112469.0,112469.0,676.0,1.78,1.48,195241,27
Wiki-Vote.graph.txt,none,4867.0,4867.0,4867.0,1.38,0,0,0
Wiki-Vote.graph.txt,one_step_simplicial,4867.0,4867.0,4867.0,1.16,0.02,2498,1
Wiki-Vote.graph.txt,recursive_simplicial,4867.0,4867.0,2.0,0.07,0.07,7113,18
Wiki-Vote.graph.txt,LP fixing only,4867.0,4867.0,4867.0,0.03,0,7117,0
Wiki-Vote.graph.txt,recursive_simplicial,4868.0,4868.0,2.0,0.07,0.07,7113,18
anna.col,none,80.0,80.0,83.5,0.01,0,0,0
anna.col,one_step_simplicial,80.0,80.0,80.0,0.01,0.00,73,1
anna.col,recursive_simplicial,80.0,80.0,0.0,0.00,0.00,138,3
anna.col,LP fixing only,80.0,80.0,83.5,0.00,0,119,0
anna.col,recursive_simplicial,80.0,80.0,0.0,0.00,0.00,138,3
ca-citeseer.mtx,none,98127.0,98127.0,122189.0,12.09,0,0,0
ca-citeseer.mtx,one_step_simplicial,98127.0,98127.0,98266.5,11.74,1.72,91206,1
ca-citeseer.mtx,recursive_simplicial,98127.0,98127.0,8.5,1.68,1.68,227303,5
ca-citeseer.mtx,LP fixing only,98127.0,98127.0,122189.0,5.40,0,111608,0
ca-citeseer.mtx,recursive_simplicial,98130.0,98130.0,8.5,1.67,1.67,227303,5
com-dblp.ungraph.txt,none,152131.0,152131.0,175176.0,16.15,0,0,0
com-dblp.ungraph.txt,one_step_simplicial,152131.0,152131.0,152358.5,16.30,2.08,138337,1
com-dblp.ungraph.txt,recursive_simplicial,152131.0,152131.0,17.0,2.08,2.08,317046,6
com-dblp.ungraph.txt,LP fixing only,152131.0,152131.0,175176.0,5.19,0,186628,0
com-dblp.ungraph.txt,recursive_simplicial,152136.0,152136.0,17.0,2.10,2.09,317046,6
com-youtube.ungraph.txt,none,857945.0,857945.0,859377.5,51.18,0,0,0
com-youtube.ungraph.txt,one_step_simplicial,857945.0,857945.0,858229.0,48.83,5.29,646837,1
com-youtube.ungraph.txt,recursive_simplicial,857945.0,857945.0,336.0,7.14,7.09,1134242,9
com-youtube.ungraph.txt,LP fixing only,857945.0,857945.0,859377.5,2.12,0,1125645,0
com-youtube.ungraph.txt,recursive_simplicial,858156.0,858156.0,336.0,7.16,7.02,1134242,9
david.col,none,36.0,36.0,48.0,0.00,0,0,0
